"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1","time","disto"
"3565","3 LOR 7 TOA PAYOH",1.33919545395688,103.854450883864,174,"Braddell",1.3404690010277,103.846799083148,863.282220515394,780,1083
"3566","3 LOR LEW LIAN",1.3504753599142,103.876132957211,106,"Serangoon",1.35063361526525,103.872771660431,374.488501994093,384,533
"3567","3 MARINE TER",1.30410606657184,103.917733367516,132,"Kembangan",1.3210381335934,103.912947930851,1958.66408789824,1612,2239
"3568","3 PINE CL",1.30692877602797,103.883110476119,86,"Mountbatten",1.30620190525331,103.882528081052,103.673580729537,93,129
"3569","3 QUEEN'S RD",1.31833337221312,103.808097181789,159,"Farrer Road",1.31743915158967,103.807379214161,127.645908684129,104,145
"3570","3 REDHILL CL",1.28455480420036,103.816700900757,51,"Redhill",1.28963453412887,103.81674097205,565.490533968645,555,771
"3571","3 ST. GEORGE'S RD",1.3225873518737,103.861107276991,345,"Boon Keng",1.31933570922514,103.861569454156,365.607410892096,359,499
"3572","3 TECK WHYE AVE",1.38247656726294,103.752527976573,152,"Choa Chu Kang",1.38536316540225,103.744370779756,962.984348191497,848,1178
"3573","3 TG PAGAR PLAZA",1.2756191858993,103.842431306625,170,"Tanjong Pagar",1.27656131737246,103.845725186759,381.289602851362,478,663
"3574","3 TIONG BAHRU RD",1.28617878318091,103.832309554646,6,"Tiong Bahru",1.28610253615775,103.827445112419,541.437341606733,486,675
"3575","3 TOH YI DR",1.33877430429858,103.775254200454,83,"Beauty World",1.34122317558549,103.775794285083,279.154625884891,293,406
"3576","3 UPP ALJUNIED LANE",1.33399297498361,103.879892742452,85,"Mattar",1.32687671501334,103.883247509542,875.749457519514,899,1249
"3577","30 BALAM RD",1.32965461509134,103.887183600084,163,"MacPherson",1.32615024457361,103.889298600376,455.614188961489,436,606
"3578","30 BENDEMEER RD",1.31909343822193,103.863905325578,122,"Boon Keng",1.31933570922514,103.861569454156,261.354327338634,264,366
"3579","30 CASSIA CRES",1.30944315518034,103.883336276334,103,"Mountbatten",1.30620190525331,103.882528081052,371.856097330891,393,545
"3580","30 GHIM MOH LINK",1.30881985260159,103.7838389718,12,"Dover",1.31140529320963,103.778637841909,646.440572996585,774,1076
"3581","30 HOLLAND CL",1.30774789148086,103.796627163472,66,"Holland Village",1.31224029631595,103.796399122407,500.735768324107,485,673
"3582","30 JLN BAHAGIA",1.32574105577942,103.858108254641,95,"Boon Keng",1.31933570922514,103.861569454156,810.433299493161,798,1108
"3583","30 JLN KLINIK",1.28766976882827,103.828202949008,148,"Tiong Bahru",1.28610253615775,103.827445112419,193.780500331718,254,353
"3584","30 KELANTAN RD",1.30547181939625,103.856879434972,98,"Jalan Besar",1.3051713878069,103.855295713435,179.398239894628,200,278
"3585","30 MARINE CRES",1.30422279476766,103.911164021354,260,"Kembangan",1.3210381335934,103.912947930851,1882.37369266599,1898,2635
"3586","30 MARSILING DR",1.44255907448697,103.772405528859,272,"Marsiling",1.43252114855026,103.774074641403,1132.74974903479,1049,1457
"3587","30 NEW UPP CHANGI RD",1.32352678658792,103.936423904386,244,"Tanah Merah",1.32718729074675,103.946348600798,1177.2855547505,968,1345
"3588","30 TANGLIN HALT RD",1.29910609683302,103.799561949337,119,"Commonwealth",1.30250199924325,103.798228523336,406.114218219064,382,530
"3589","30 TEBAN GDNS RD",1.3208228255704,103.73907552675,98,"Jurong East",1.33315281585758,103.742286332403,1418.31867678085,1878,2607
"3590","30 TELOK BLANGAH RISE",1.27298528304053,103.820252009798,114,"HarbourFront",1.26538938374901,103.821530157095,857.45311060977,886,1230
"3591","300 CANBERRA RD",1.44585216960767,103.822896239346,77,"Sembawang",1.44905082158502,103.820046140211,476.848527837047,699,971
"3592","301 ANG MO KIO AVE 3",1.36742112526427,103.845903587276,227,"Ang Mo Kio",1.36993284962262,103.84955809232,493.54280299427,474,658
"3593","301 BT BATOK ST 31",1.35676942740178,103.748774260571,140,"Bukit Gombak",1.35861159094192,103.751790910733,393.394887923784,338,469
"3594","301 CLEMENTI AVE 4",1.32217649495476,103.764912144396,183,"Clementi",1.31511625277378,103.765191452888,786.557019497378,673,935
"3595","301 HOUGANG AVE 5",1.36778751494032,103.89392989782,132,"Hougang",1.37129226620797,103.892380513029,426.55129563297,453,628
"3596","301 JURONG EAST ST 32",1.34404144956674,103.735500080389,259,"Chinese Garden",1.34235282081401,103.732596738363,373.811946869676,508,705
"3597","301 SERANGOON AVE 2",1.35288348468299,103.867822806036,36,"Lorong Chuan",1.35161217074555,103.864151938651,432.344064377119,404,562
"3598","301 SHUNFU RD",1.34935737197469,103.838327333282,101,"Marymount",1.348707263451,103.839423132332,141.806836016008,162,224
"3599","301 TAMPINES ST 32",1.35336372874342,103.955477865389,88,"Tampines East",1.35619148271544,103.9546344625,328.479717881045,296,411
"3600","301 UBI AVE 1",1.33112979937694,103.902013156859,42,"Ubi",1.32997425973974,103.899226655439,335.728869949619,257,356
"3601","301 WOODLANDS ST 31",1.4315052703273,103.773515659097,52,"Marsiling",1.43252114855026,103.774074641403,129.066999449618,197,273
"3602","301A ANCHORVALE DR",1.38902209670852,103.8917280092,44,"Sengkang",1.39169462601522,103.895484694279,513.118700813252,505,701
"3603","301A PUNGGOL CTRL",1.40417216254397,103.906186058049,39,"Punggol",1.41492733388605,103.910166388177,1276.57371247548,997,1384
"3604","301B ANCHORVALE DR",1.38930683858364,103.891098273363,63,"Sengkang",1.39169462601522,103.895484694279,555.827561331921,567,787
"3605","301B PUNGGOL CTRL",1.4042654183752,103.905894745009,27,"Punggol",1.41492733388605,103.910166388177,1278.538811836,1027,1425
"3606","301C ANCHORVALE DR",1.3885182028847,103.891082520107,74,"Sengkang",1.39169462601522,103.895484694279,604.182844058182,599,831
"3607","301C PUNGGOL CTRL",1.40440162311748,103.905663775926,23,"Punggol",1.41492733388605,103.910166388177,1274.36185595701,1056,1466
"3608","301D ANCHORVALE DR",1.38840523759899,103.891301833133,55,"Sengkang",1.39169462601522,103.895484694279,592.258476943178,593,822
"3609","301D PUNGGOL PL",1.4044481482323,103.905429569646,22,"Punggol",1.41492733388605,103.910166388177,1280.11220114709,1081,1500
"3610","302 ANG MO KIO AVE 3",1.36708983179046,103.845660199054,285,"Ang Mo Kio",1.36993284962262,103.84955809232,536.966916932828,515,715
"3611","302 BT BATOK ST 31",1.35711725438592,103.748423168363,47,"Bukit Gombak",1.35861159094192,103.751790910733,410.048204294518,386,536
"3612","302 CANBERRA RD",1.44501283137401,103.823072479872,76,"Sembawang",1.44905082158502,103.820046140211,561.675572776081,697,968
"3613","302 CLEMENTI AVE 4",1.32173863747461,103.764910229993,159,"Clementi",1.31511625277378,103.765191452888,737.864545547906,650,902
"3614","302 HOUGANG AVE 5",1.36851824459992,103.894583868849,184,"Hougang",1.37129226620797,103.892380513029,394.316170091318,345,479
"3615","302 JURONG EAST ST 32",1.34465302453655,103.734485227961,314,"Chinese Garden",1.34235282081401,103.732596738363,331.264239940335,551,765
"3616","302 SERANGOON AVE 2",1.35318021089479,103.867119538611,200,"Lorong Chuan",1.35161217074555,103.864151938651,373.551022464798,367,510
"3617","302 SHUNFU RD",1.34936138318074,103.839099307727,32,"Marymount",1.348707263451,103.839423132332,81.2462139586455,84,117
"3618","302 TAMPINES ST 32",1.35225803340189,103.95522716685,63,"Tampines East",1.35619148271544,103.9546344625,442.809929255634,395,549
"3619","302 UBI AVE 1",1.33002586987709,103.900995405582,44,"Ubi",1.32997425973974,103.899226655439,196.927144218629,189,263
"3620","302 WOODLANDS ST 31",1.43151114760042,103.774428425787,66,"Marsiling",1.43252114855026,103.774074641403,119.126790765608,203,282
"3621","302 YISHUN CTRL",1.43003455434607,103.839674797958,120,"Yishun",1.42944308477331,103.835005047246,523.826897980244,483,671
"3622","302A ANCHORVALE LINK",1.38756341803929,103.891211046862,53,"Buangkok",1.38287001971672,103.893122569706,564.113890059335,618,859
"3623","302A PUNGGOL PL",1.40442356621968,103.904444236705,32,"Punggol",1.41492733388605,103.910166388177,1331.43107333062,1168,1621
"3624","302A WOODLANDS ST 31",1.43185558749484,103.775294044439,20,"Marsiling",1.43252114855026,103.774074641403,154.609364251262,168,233
"3625","302B ANCHORVALE LINK",1.3878622433042,103.890705078823,77,"Buangkok",1.38287001971672,103.893122569706,617.428339171783,694,963
"3626","302B PUNGGOL PL",1.40437493103842,103.904784032402,27,"Punggol",1.41492733388605,103.910166388177,1318.5859579165,1131,1571
"3627","302C ANCHORVALE LINK",1.38807961549725,103.890153139284,43,"Buangkok",1.38287001971672,103.893122569706,667.473842680347,768,1066
"3628","302C PUNGGOL PL",1.40472047246732,103.904967915033,26,"Punggol",1.41492733388605,103.910166388177,1275.02267877486,1133,1573
"3629","302D ANCHORVALE LINK",1.3882037089642,103.889719168414,55,"Buangkok",1.38287001971672,103.893122569706,704.262818690735,760,1056
"3630","302D PUNGGOL PL",1.40458429708747,103.905198651103,25,"Punggol",1.41492733388605,103.910166388177,1277.22748724929,1110,1541
"3631","303 ANG MO KIO AVE 1",1.36664920473672,103.84525455598,133,"Ang Mo Kio",1.36993284962262,103.84955809232,602.486222768492,651,904
"3632","303 BT BATOK ST 31",1.35675151740441,103.748193952068,61,"Bukit Gombak",1.35861159094192,103.751790910733,450.682039082388,382,530
"3633","303 CANBERRA RD",1.44468992188378,103.822441629559,69,"Sembawang",1.44905082158502,103.820046140211,553.831604688566,629,873
"3634","303 CLEMENTI AVE 4",1.3213294766669,103.764815932724,241,"Clementi",1.31511625277378,103.765191452888,692.914355250064,623,866
"3635","303 HOUGANG AVE 5",1.36797082875069,103.894712852589,39,"Hougang",1.37129226620797,103.892380513029,451.752087325713,424,588
"3636","303 JURONG EAST ST 32",1.34485611194653,103.735622181477,126,"Chinese Garden",1.34235282081401,103.732596738363,437.058238888629,577,800
