"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1"
"8237","719 WOODLANDS AVE 6",1.44192156825663,103.800135491076,141,"Admiralty",1.44058856161847,103.800990519771,176.276031346767
"8238","719 YISHUN ST 71",1.42688084988418,103.829303136688,171,"Yishun",1.42944308477331,103.835005047246,695.694592037806
"8239","72 BEDOK STH AVE 3",1.32036659168877,103.943667906986,104,"Tanah Merah",1.32718729074675,103.946348600798,815.784437618364
"8240","72 C'WEALTH DR",1.30002336935165,103.796956865534,7,"Commonwealth",1.30250199924325,103.798228523336,310.097935004806
"8241","72 CIRCUIT RD",1.32454761102539,103.887943886744,50,"MacPherson",1.32615024457361,103.889298600376,233.577406244184
"8242","72 GEYLANG BAHRU",1.32194544026476,103.871031667932,246,"Geylang Bahru",1.32130110228321,103.871622627142,97.3150403327284
"8243","72 LOR 5 TOA PAYOH",1.33387681149467,103.852072555858,14,"Toa Payoh",1.33262928096888,103.847502198048,527.250222886577
"8244","72 MARINE DR",1.30428356986834,103.908364873073,133,"Eunos",1.31978354916088,103.903225807255,1817.76755614373
"8245","72 REDHILL RD",1.28740502686387,103.816391960711,18,"Redhill",1.28963453412887,103.81674097205,251.20865391163
"8246","72 TELOK BLANGAH HTS",1.27611797685125,103.809589962738,88,"Telok Blangah",1.27070647717762,103.809761611219,602.708204797282
"8247","720 ANG MO KIO AVE 6",1.37180102410534,103.84699031799,18,"Ang Mo Kio",1.36993284962262,103.84955809232,353.424343958898
"8248","720 BEDOK RESERVOIR RD",1.33597277354753,103.924883020541,102,"Bedok North",1.33474211664091,103.91797832995,780.534428586372
"8249","720 JURONG WEST AVE 5",1.34435137284809,103.697497312594,119,"Pioneer",1.33758701106708,103.697321608474,753.25915315998
"8250","720 PASIR RIS ST 72",1.38178596392118,103.936411750362,45,"Pasir Ris",1.37304331635804,103.949284527763,1731.89135353684
"8251","720 TAMPINES ST 72",1.35938894436607,103.936070829294,101,"Tampines",1.34551530560119,103.938436971222,1566.69424051225
"8252","720 WOODLANDS AVE 6",1.4422101047419,103.801033253866,129,"Admiralty",1.44058856161847,103.800990519771,180.571988995632
"8253","720 YISHUN ST 71",1.42642051761913,103.828957973293,174,"Yishun",1.42944308477331,103.835005047246,752.377367605277
"8254","721 ANG MO KIO AVE 8",1.37234984781557,103.847899479721,4,"Ang Mo Kio",1.36993284962262,103.84955809232,326.287679160467
"8255","721 BEDOK RESERVOIR RD",1.33629244771801,103.926101654356,153,"Bedok Reservoir",1.33660782955099,103.932234623286,683.435610840267
"8256","721 CLEMENTI WEST ST 2",1.3024252487869,103.76435385686,1,"Clementi",1.31511625277378,103.765191452888,1415.82806397528
"8257","721 JURONG WEST AVE 5",1.34399335727786,103.697595848966,136,"Pioneer",1.33758701106708,103.697321608474,713.803963848453
"8258","721 PASIR RIS ST 72",1.3814623557979,103.936332074831,55,"Pasir Ris",1.37304331635804,103.949284527763,1719.33428927635
"8259","721 TAMPINES ST 71",1.3599202305003,103.936352048283,85,"Tampines",1.34551530560119,103.938436971222,1620.24875429215
